timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 17:06:19 2026,1778585779.9692037,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,72.14,-57.01,341.42,3.3,547
Tue May 12 17:07:24 2026,1778585844.3512115,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,71.01,-63.09,385.63,3.45,551
Tue May 12 17:08:23 2026,1778585903.9044695,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,70.02,-63.4,145.73,3.44,554
Tue May 12 17:09:24 2026,1778585964.522535,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,68.91,-58.09,588.41,3.59,558
Tue May 12 17:10:24 2026,1778586024.6935782,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,67.81,-60.35,1261.83,3.57,562
Tue May 12 17:11:26 2026,1778586086.9538524,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,66.70,-57.75,448.04,3.54,566
Tue May 12 17:12:28 2026,1778586148.243231,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,65.59,-60.07,683.73,3.51,570
Tue May 12 17:13:29 2026,1778586209.0389016,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,64.49,-62.48,325.62,3.49,574
Tue May 12 17:14:31 2026,1778586271.2242155,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,63.38,-61.3,640.55,3.47,578
Tue May 12 17:15:30 2026,1778586330.0822024,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,62.39,-56.19,446.52,3.45,581
Tue May 12 17:16:28 2026,1778586388.8278155,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,61.39,-61.41,540.98,3.43,584
Tue May 12 17:17:31 2026,1778586451.031401,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,60.28,-58.84,568.83,3.41,588
Tue May 12 17:18:31 2026,1778586511.5904982,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,59.18,-53.91,99.82,3.38,592
Tue May 12 17:19:31 2026,1778586571.318875,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,58.18,-62.43,792.38,3.37,595
Tue May 12 17:21:33 2026,1778586693.7091994,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,56.47,-63.5,430.31,3.49,602
Tue May 12 17:22:33 2026,1778586753.980132,Bangalore,Clouds,32.73,32.6,36,1005,12.96,8000,55.37,-58.6,253.09,3.47,606
Tue May 12 17:23:37 2026,1778586817.5259647,Bangalore,Clouds,32.51,32.47,37,1004,12.52,8000,54.25,-64.61,231.42,3.45,610
Tue May 12 17:24:35 2026,1778586875.5145042,Bangalore,Clouds,32.51,32.47,37,1004,12.52,8000,53.26,-61.54,758.22,3.43,613
Tue May 12 17:25:35 2026,1778586935.6829667,Bangalore,Clouds,32.51,32.47,37,1004,12.52,8000,52.16,-62.25,124.57,3.57,617
Tue May 12 17:26:36 2026,1778586996.2359395,Bangalore,Clouds,32.51,32.47,37,1004,12.52,8000,51.05,-57.99,51.69,3.55,621
Tue May 12 17:27:37 2026,1778587057.4222455,Bangalore,Clouds,32.6,32.6,37,1004,12.52,8000,49.95,-61.01,301.12,3.53,625
Tue May 12 17:28:37 2026,1778587117.7562664,Bangalore,Clouds,32.6,32.6,37,1004,12.52,8000,48.85,-58.53,515.7,3.5,629
Tue May 12 17:29:38 2026,1778587178.2524214,Bangalore,Clouds,32.6,32.6,37,1004,12.52,8000,47.74,-64.68,250.98,3.48,633
Tue May 12 17:30:37 2026,1778587237.3333106,Bangalore,Clouds,32.6,32.6,37,1004,12.52,8000,46.75,-63.85,369.87,3.62,636
Tue May 12 17:31:39 2026,1778587299.011865,Bangalore,Clouds,32.6,32.6,37,1004,12.52,8000,45.64,-61.79,653.57,3.6,640
Tue May 12 17:32:40 2026,1778587360.0726645,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,44.54,-61.02,82.4,3.58,644
Tue May 12 17:33:40 2026,1778587420.0373406,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,43.54,-64.47,775.44,3.56,647
Tue May 12 17:34:42 2026,1778587482.1432755,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,42.43,-61.96,157.05,3.85,651
Tue May 12 17:35:42 2026,1778587542.8045864,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,41.32,-61.87,206.6,3.82,655
Tue May 12 17:36:41 2026,1778587601.5642772,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,40.33,-63.24,1145.21,3.81,658
Tue May 12 17:37:42 2026,1778587662.78628,Bangalore,Clouds,32.48,32.43,37,1004,12.52,8000,39.22,-62.6,405.1,3.78,662
